,Country/Region,Province/State,Lat,Long,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
0,Abruzzo,ITA,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,7,7,7,8,10,13,15,20,21,23,23,24,30,36,74,95,102,113,116,119,125,127
1,Basilicata,ITA,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,9,11,12
2,Calabria,ITA,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,2,2,2,5,5,5,5,7,7,7,11,12,14,17,21,23,26,30,33,37
3,Campania,ITA,40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,23,28,28,28,28,30,30,29,41,48,53,53,58,64,76,86,88,88,107,149,144,146,150,156
4,Emilia Romagna,ITA,44.49436681,11.3417208,0,0,0,0,0,0,0,0,4,6,10,17,25,27,30,31,38,43,51,54,68,88,134,152,177,239,329,349,423,558,721,792,960,1075,1141,1227,1477,1566,1663,1852,2040,2201,2397
5,Friuli Venezia Giulia,ITA,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,10,11,11,17,17,18,17,15,41,63,82,89,105,80,158,197,214,229,241,285,320,357,376,419,505,531,549
6,Lazio,ITA,41.89277044,12.48366722,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,11,19,19,24,24,24,32,34,42,44,53,54,58,63,103,131,155,164,200,208,267,291,337,369,392,439,475,502
7,Liguria,ITA,44.41149315,8.9326992,0,0,0,0,0,4,4,4,4,4,4,5,5,5,5,5,5,20,24,52,33,42,57,70,85,101,125,143,159,193,225,260,305,378,420,437,480,555,634,700,767,800,837
8,Lombardia,ITA,45.46679409,9.190347404,0,0,0,40,40,40,73,139,139,250,376,469,524,550,646,896,900,1085,1198,1660,2011,2368,2485,3488,3778,4295,5050,5865,6075,6657,7281,7839,8001,8962,9255,10337,10885,11415,12229,13020,13242,13426,13863
9,Marche,ITA,43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,8,8,9,10,10,12,16,21,29,40,42,270,287,296
10,Molise,ITA,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,6,7,7,10,10,12,14,14,16,18,18,18,19,21,21,24,24,24
11,P.A. Bolzano,ITA,46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,7,44,67,67,110,116,116,153,153,190,190,211,245,260,298
12,P.A. Trento,ITA,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,5,5,5,10,12,20,29,34,34,68,79,90,117,125,151,172,178,193,214,229,246,257,273,280
13,Piemonte,ITA,45.0732745,7.680687483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,10,17,17,19,135,176,203,254,308,365,439,571,723,888,1017,1128
14,Puglia,ITA,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,4,4,4,7,7,21,22,22,29,29,31,36,39,61,69,69,94,113,134
15,Sardegna,ITA,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,11,12,13,13,29,29,32,34,36,36,40,44,49,56
16,Sicilia,ITA,38.11569725,13.3623567,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,8,8,12,15,25,26,26,27,27,33,36,53,60,65,71,74,86,92,94,95,104,108
17,Toscana,ITA,43.76923077,11.25588885,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,5,7,10,10,10,11,12,17,22,33,35,42,51,51,54,95,103,108,121,131,138,182,216,300,310,337,350
18,Umbria,ITA,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5,12,39,43,95,184,190,194,205,220,242,298,337
19,Valle d'Aosta,ITA,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,16,20,32,49,89,106,115,142
20,Veneto,ITA,45.43490485,12.33845213,0,0,0,0,0,0,0,0,7,9,17,22,25,29,30,47,54,55,100,107,120,130,136,167,200,223,257,309,327,381,439,508,536,655,715,747,828,902,1001,1031,1124,1186,1204
