,Country/Region,Province/State,Lat,Long,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14
0,Abruzzo,ITA,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,14,14,28,37,32,41,47,48,44,49,52,57,59,64,71,70,68,69,73,71,75,76,71,67,66,67,62,57,53,54,54,54,52
1,Basilicata,ITA,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,5,5,7,10,12,12,14,16,15,19,18,18,17,15,19,19,19,18,18,17,17,17,15,12,12,12,12
2,Calabria,ITA,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,6,7,10,11,13,16,16,17,20,21,23,23,22,22,19,18,17,16,19,17,15,13,14,14,15,15,14,15,14,12,12
3,Campania,ITA,40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,11,11,19,17,22,22,24,24,36,41,87,99,110,181,123,114,113,132,135,126,133,129,120,115,114,108,101,103,97,94,90,85,82,80,82
4,Emilia Romagna,ITA,44.49436681,11.3417208,2,2,3,6,6,11,13,16,24,26,32,53,64,75,90,98,104,112,128,152,169,197,223,247,260,267,265,269,276,291,294,301,308,316,333,351,353,359,366,364,358,375,372,366,361,355,349,341,335,331,328
5,Friuli Venezia Giulia,ITA,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,5,10,8,11,12,19,21,27,29,32,37,47,41,49,52,54,57,59,60,60,60,60,60,61,50,50,46,44,41,37,33,28,28,30,28
6,Lazio,ITA,41.89277044,12.48366722,1,1,0,0,0,0,0,0,0,3,7,8,8,8,8,15,18,20,24,25,31,31,44,44,45,47,70,79,96,94,101,113,126,133,133,154,173,177,181,188,193,197,197,192,196,198,201,203,201,200,199
7,Liguria,ITA,44.41149315,8.9326992,0,0,0,0,0,1,1,1,2,3,3,5,6,11,17,29,34,36,44,62,66,73,85,100,112,121,129,132,133,147,147,154,157,167,166,175,179,179,172,173,169,165,162,156,153,154,151,146,144,138,133
8,Lombardia,ITA,45.46679409,9.190347404,19,25,25,41,47,80,106,127,167,209,244,309,359,399,440,466,560,605,650,732,767,823,879,924,1006,1050,1093,1142,1183,1194,1236,1263,1292,1319,1328,1330,1324,1342,1351,1381,1326,1317,1343,1305,1257,1236,1202,1174,1176,1143,1122
9,Marche,ITA,43.61675973,13.5188753,0,0,0,1,2,2,5,6,13,15,19,20,36,41,47,54,66,76,85,93,98,110,109,119,141,138,141,138,148,149,148,166,162,166,168,167,169,168,164,158,153,151,140,139,133,133,127,118,114,108,106
10,Molise,ITA,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,4,5,5,6,6,6,6,7,7,7,7,8,9,9,9,8,8,8,8,8,6,6,5,5,4,4,4,4,4,4,4
11,P.A. Bolzano,ITA,46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,7,4,11,11,18,18,24,30,32,33,38,40,43,45,51,56,62,62,57,60,60,61,53,52,64,65,64,58,56,45,41,39
12,P.A. Trento,ITA,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,6,12,19,19,22,22,30,34,39,46,46,49,65,66,66,72,75,78,80,76,78,80,81,80,79,78,77,69,70,62,61,56,54
13,Piemonte,ITA,45.0732745,7.680687483,0,0,0,0,0,0,2,2,3,13,17,30,38,45,50,66,75,97,135,150,171,186,206,227,257,280,301,308,343,360,381,408,431,439,443,452,452,453,453,452,450,444,438,432,423,412,394,384,381,379,367
14,Puglia,ITA,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,6,4,2,2,6,6,6,14,30,31,31,33,37,45,57,64,76,82,98,99,106,105,107,118,123,153,159,97,93,90,86,80,73,71,71,62
15,Sardegna,ITA,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,15,16,16,18,19,19,20,19,22,23,24,28,27,24,24,24,25,26,26,31,25,26,24,26,27,24
16,Sicilia,ITA,38.11569725,13.3623567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,7,11,15,20,28,29,36,42,48,55,60,60,80,68,75,71,71,75,72,72,73,73,74,76,74,73,65,63,62,58,53,51,53
17,Toscana,ITA,43.76923077,11.25588885,0,0,0,0,0,0,0,0,0,2,3,5,7,7,9,40,54,59,77,87,107,107,143,160,178,189,202,215,238,244,251,259,274,277,275,279,293,297,295,288,286,276,279,263,260,256,256,237,238,225,225
18,Umbria,ITA,43.10675841,12.38824698,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,5,8,10,11,13,15,21,21,21,24,29,35,42,43,44,46,46,44,46,47,43,45,47,48,44,45,46,41,41,38,39,39,39,38,37
19,Valle d'Aosta,ITA,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,3,9,9,15,21,20,20,25,24,24,26,26,26,26,27,25,25,23,23,21,17,20,18,16,17,16,15,14
20,Veneto,ITA,45.43490485,12.33845213,4,7,8,8,9,11,13,14,19,23,24,27,41,47,51,67,68,85,107,119,129,156,171,195,209,236,249,255,281,304,316,326,338,344,355,356,356,350,345,335,324,329,322,297,285,274,257,251,249,245,233
