,Country/Region,Province/State,Lat,Long,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20
0,Abruzzo,ITA,42.35122196,13.39843823,0.0,0.0,0.0,1.0,1.0,2.0,5.0,5.0,6.0,7.0,8.0,9.0,11.0,17.0,30.0,38.0,38.0,84.0,89.0,112.0,137.0,176.0,229.0,263.0,385.0,449.0,529.0,587.0,663.0,689.0,813.0,946.0,1017.0,1133.0,1293.0
1,Basilicata,ITA,40.63947052,15.80514834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,7.0,8.0,8.0,10.0,10.0,11.0,12.0,20.0,27.0,37.0,52.0,66.0,81.0,90.0,92.0,113.0,134.0,151.0,182.0,202.0
2,Calabria,ITA,38.90597598,16.59440194,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,9.0,11.0,13.0,19.0,33.0,38.0,60.0,68.0,89.0,114.0,129.0,169.0,207.0,235.0,273.0,292.0,319.0,351.0,393.0,494.0,555.0,614.0
3,Campania,ITA,40.83956555,14.25084984,0.0,0.0,0.0,3.0,4.0,13.0,17.0,17.0,30.0,31.0,45.0,57.0,61.0,101.0,120.0,127.0,154.0,179.0,220.0,272.0,333.0,400.0,460.0,460.0,652.0,749.0,844.0,936.0,1026.0,1101.0,1199.0,1310.0,1454.0,1592.0,1759.0
4,Emilia Romagna,ITA,44.49436681,11.3417208,18.0,26.0,47.0,97.0,145.0,217.0,285.0,335.0,420.0,544.0,698.0,870.0,1010.0,1180.0,1386.0,1533.0,1739.0,1947.0,2263.0,2644.0,3093.0,3522.0,3931.0,4525.0,5214.0,5968.0,6705.0,7555.0,8535.0,9254.0,10054.0,10816.0,11588.0,12383.0,13119.0
5,Friuli Venezia Giulia,ITA,45.6494354,13.76813649,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,13.0,18.0,21.0,31.0,42.0,57.0,93.0,116.0,126.0,167.0,257.0,301.0,347.0,386.0,394.0,462.0,599.0,656.0,790.0,874.0,930.0,992.0,1139.0,1223.0,1317.0,1436.0,1480.0
6,Lazio,ITA,41.89277044,12.48366722,3.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,14.0,30.0,44.0,54.0,76.0,87.0,102.0,116.0,150.0,200.0,277.0,357.0,436.0,523.0,607.0,724.0,823.0,1008.0,1190.0,1383.0,1540.0,1728.0,1901.0,2096.0,2295.0,2505.0,2706.0
7,Liguria,ITA,44.41149315,8.9326992,0.0,1.0,11.0,19.0,19.0,42.0,25.0,22.0,24.0,26.0,28.0,32.0,51.0,78.0,109.0,141.0,194.0,274.0,345.0,463.0,559.0,667.0,778.0,887.0,1059.0,1221.0,1436.0,1665.0,1924.0,2116.0,2305.0,2567.0,2696.0,2822.0,3076.0
8,Lombardia,ITA,45.46679409,9.190347404,172.0,240.0,258.0,403.0,531.0,615.0,984.0,1254.0,1520.0,1820.0,2251.0,2612.0,3420.0,4189.0,5469.0,5791.0,7280.0,8725.0,9820.0,11685.0,13272.0,14649.0,16220.0,17713.0,19884.0,22264.0,25515.0,27206.0,28761.0,30703.0,32346.0,34889.0,37298.0,39415.0,41007.0
9,Marche,ITA,43.61675973,13.5188753,0.0,0.0,1.0,3.0,6.0,11.0,25.0,35.0,61.0,84.0,124.0,159.0,207.0,272.0,323.0,394.0,479.0,592.0,725.0,899.0,1133.0,1242.0,1371.0,1568.0,1737.0,1981.0,2153.0,2421.0,2569.0,2736.0,2934.0,3114.0,3196.0,3373.0,3558.0
